Unnamed: 0,SEM 1 SGPA,SEM 1 KT,SEM 2 SGPA,SEM 2 KT,SEM 3 SGPA,SEM 3 KT,SEM 4 SGPA,SEM 4 KT,Attandance,label
0,8.43,1,6.2,2,6.8,1,6.5,0,2,1
1,4.2,1,4.2,2,3.5,2,4.4,1,5,0
2,6.3,0,6.2,0,6.8,0,6.7,0,2,1
3,8.15,0,7.8,0,8.18,0,9.0,0,3,1
4,3.8,1,3.4,1,4.1,2,4.3,1,5,0
5,5.6,0,6.08,0,4.89,0,5.41,0,3,1
6,7.3,0,7.2,1,6.77,0,6.9,0,2,1
7,3.8,1,3.9,2,4.6,1,3.9,2,5,0
8,4.54,2,4.78,1,4.32,1,4.23,1,5,0
9,5.7,2,5.85,1,5.6,2,6.0,0,3,1
10,5.8,1,5.2,1,5.3,0,5.9,0,1,1
11,7.7,0,7.63,0,9.85,0,8.8,0,2,1
12,6.6,0,5.5,2,5.9,1,6.0,0,2,1
13,6.91,0,9.04,0,7.8,0,7.39,0,3,1
14,3.8,1,4.2,2,4.6,2,3.5,2,3,0
15,6.7,0,6.67,0,6.69,0,6.9,0,2,1
16,6.2,0,6.23,0,5.9,0,5.7,0,1,1
17,4.6,1,3.5,1,4.6,2,3.9,1,5,0
18,7.65,0,6.76,0,6.62,0,6.9,0,4,1
19,5.8,1,5.2,1,5.3,0,5.9,0,1,1
20,4.16,2,3.8,2,3.7,1,4.5,1,5,0
21,7.9,0,7.8,0,6.62,0,6.8,0,2,1
22,3.4,2,3.5,2,3.6,1,3.9,1,5,0
23,4.0,3,3.9,2,3.4,1,3.8,0,5,0
24,3.4,2,3.5,2,3.6,1,3.9,1,5,0
25,5.65,0,5.7,2,5.9,2,5.8,0,3,1
26,5.5,0,5.73,0,7.5,0,5.6,0,4,1
27,3.7,1,4.2,1,3.8,4,4.6,0,5,0
28,3.25,2,3.7,2,4.2,1,4.13,1,5,0
29,3.8,1,3.7,3,3.3,2,3.2,0,4,0
30,6.15,0,6.09,0,6.0,0,7.1,0,2,1
31,7.79,0,8.77,0,7.91,0,8.0,0,3,1
32,7.65,0,6.76,0,6.62,0,6.9,0,4,1
33,9.16,1,8.35,0,8.27,2,7.2,0,2,1
34,7.75,0,7.78,0,7.68,0,8.93,0,2,1
